F	A	        B	        Output
00	0000 0010	0000 0000	0000 0010
00	0000 0010	0000 0010	0000 0100
00	0000 0010	0000 0011	0000 0101
00	0000 0010	0000 0010	0000 0100
00	0000 0011	0000 0010	0000 0101
00	0000 0111	0000 0010	0000 1001
00	0000 1111	0000 0010	0001 0001
00	0001 1111	0000 0010	0010 0001
00	0011 1111	0000 0010	0100 0001
00	0111 1111	0000 0010	1000 0001
00	1111 1111	0000 0010	0000 0001
00	0111 1111	0000 0010	1000 0001
00	0111 1111	0000 0000	0111 1111
00	0111 1111	0000 0001	1000 0000
00	1111 1111	0000 0001	0000 0000
00	1111 1111	1000 0001	1000 0000
00	1111 1111	1100 0001	1100 0000
00	1111 1111	1110 0001	1110 0000
00	1111 1111	1111 0001	1111 0000
00	1111 1111	1111 1001	1111 1000
00	1111 1111	1111 1101	1111 1100
00	1111 1111	1111 1111	1111 1110
01	1111 1111	1111 1111	0000 0000
01	1011 1111	1111 1111	1100 0000
01	1001 1111	1111 1111	1010 0000
01	1001 0111	1111 1111	1001 1000
01	1000 0111	1111 1111	1000 1000
01	1000 0011	1111 1111	1000 0100
01	1000 0001	1111 1111	1000 0010
01	1000 0000	1111 1111	1000 0001
01	1000 0000	1111 1101	1000 0011
01	1000 0000	1111 1001	1000 0111
01	1000 0000	1111 0001	1000 1111
01	1000 0000	1110 0001	1001 1111
01	1000 0000	1100 0001	1011 1111
01	1000 0000	1000 0001	1111 1111
01	1000 0000	0000 0001	0111 1111
01	0000 0000	0000 0001	1111 1111
01	0000 0010	0000 0001	0000 0001
01	0000 0010	0000 0011	1111 1111
01	0000 0010	0000 0111	1111 1011
01	0000 0010	0000 1111	1111 0011
01	0000 0010	0001 1111	1110 0011
01	0000 0010	0011 1111	1100 0011
01	0000 0010	0111 1111	1000 0011
01	0000 0010	1111 1111	0000 0011
00	0000 0010	1111 1111	0000 0001
10	0000 0010	1111 1111	0000 0000
10	0000 0000	1111 1111	0000 0000
10	0000 0001	1111 1111	0000 0000
10	0000 0001	1111 1110	0000 0000
10	0000 0001	1111 1010	0000 0000
10	0000 0001	1111 0010	0000 0000
10	0000 0001	1110 0010	0000 0000
10	0000 0001	1100 0010	0000 0000
10	0000 0001	1000 0010	0000 0000
10	0000 0001	0000 0010	0000 0000
10	0000 0001	0000 0000	0000 0000
10	0000 0001	0000 0001	0000 0001
10	0000 0001	0000 0000	0000 0000
11	0000 0001	0000 0000	0000 0001
11	0000 0001	0000 0001	0000 0001
11	0000 0001	0000 0000	0000 0001
11	0000 0001	0000 0010	0000 0001
11	0000 0011	0000 0010	0000 0001
11	0000 0011	0000 0000	0000 0001
11	0000 0001	0000 0000	0000 0001
11	0000 0000	0000 0000	0000 0001
11	0000 0000	0000 0001	0000 0000
11	0000 0000	0000 0011	0000 0000
11	0000 0000	0000 0111	0000 0000
11	0000 0000	0001 0111	0000 0000
11	0000 0000	1001 0111	0000 0000
11	0000 1000	1001 0111	0000 0001
11	0000 1000	1001 0111	0000 000E
11	0000 1000	1001 0111	0000 0000
11	0000 1000	1001 1111	0000 0000
11	1000 1000	1001 1111	0000 0000
11	1000 1000	0001 1111	0000 0000
11	0000 1000	0001 1111	0000 0000
11	0000 1000	0000 1111	0000 0000
11	0000 1000	0000 0111	0000 0000
11	0000 1000	0000 0011	0000 0000
11	0000 1000	0000 0001	0000 0000
11	0000 1000	0000 0000	0000 0000
11	0000 0000	0000 0000	0000 0001
11	0000 0001	0000 0000	0000 0001
11	0000 0001	0000 0100	0000 0001
11	0000 0001	0000 0110	0000 0001
11	0000 0000	0000 0110	0000 0000
11	0000 0001	0000 0110	0000 0001
11	0000 0000	0000 0110	0000 0000
11	0000 0000	0000 0100	0000 0000
11	0000 0000	0000 0110	0000 0000
11	0000 0000	0000 0010	0000 0000
11	0000 0000	0000 0000	0000 0001
11	0000 0001	0000 0000	0000 0000
11	0000 0101	0000 0000	0000 0000
11	0001 0101	0000 0000	0000 0000
11	0001 0101	1000 0000	0000 0000
11	0001 0101	1010 0000	0000 0000
11	0001 0101	1010 0000	0000 000E
11	0001 0101	1010 0000	0000 0001
